CPF,Nome,Idade,Sexo,Email,Nota ENEM,Abandono,Qual Semestre,CRA após o 2º Semestre,CRA após o 4º Semestre,CRA após o 6º Semestre
18673563239,Michael Morris,19,Feminino,heatherlogan@example.com,779,False,,5.96,8.92,5.53
90628706859,John Sullivan,24,Masculino,dudleymichael@example.net,652,False,,6.15,8.75,5.36
44516343039,Diane Patterson,28,Masculino,rholloway@example.org,756,False,,7.69,6.27,5.14
86853530607,Jamie Jackson,21,Feminino,kristensanchez@example.org,797,False,,7.49,9.85,7.34
78211839418,Kelly Thornton,26,Masculino,darlene02@example.org,684,False,,8.9,8.87,6.54
76645915142,Kelsey Wright,26,Feminino,robertmartinez@example.net,751,False,,5.84,5.31,9.4
78078062077,Christopher Mcdaniel,25,Masculino,michael33@example.net,740,False,,8.74,6.35,9.49
57072055373,Gavin Short,21,Feminino,ostafford@example.net,663,False,,8.53,7.94,6.88
42528245738,Kayla Smith,28,Feminino,garrett24@example.org,765,False,,9.74,5.42,8.2
96725143255,Geoffrey Patterson,22,Feminino,gonzalesbrandon@example.org,703,False,,7.21,7.99,7.53
2011539428,Elizabeth Sullivan,20,Masculino,petersmario@example.net,767,False,,8.63,8.63,6.72
89115216295,Tammy Liu,27,Masculino,qwilliams@example.com,674,False,,6.24,7.77,9.42
31602062894,Luis Moses,23,Feminino,carolynjones@example.com,755,False,,7.8,6.5,6.56
65408091113,Jason Best,21,Feminino,dchavez@example.org,749,True,1.0,7.7,5.32,5.3
13268984747,Thomas Carson,20,Masculino,henry02@example.com,707,True,7.0,7.19,9.82,9.81
73247335104,Alyssa Payne,23,Feminino,omclean@example.com,685,True,5.0,8.78,8.31,9.49
32808468674,Savannah Sutton,27,Feminino,amy66@example.com,655,True,1.0,8.68,9.1,6.81
55327322141,Michelle Buck,18,Masculino,rogerskristina@example.com,764,True,2.0,8.86,7.53,9.13
87776518804,Kevin Huff,24,Feminino,berrymichael@example.net,676,True,3.0,5.15,9.45,8.77
162714603,Andrew Paul,22,Feminino,weberethan@example.net,721,True,3.0,9.91,8.33,6.32
72760087817,Troy Carr,21,Feminino,franklinangel@example.org,653,False,,5.53,6.29,9.65
75614630348,Austin Nelson,23,Masculino,mclayton@example.com,728,False,,5.53,8.51,7.21
74380200550,Amber Maxwell,21,Masculino,uschultz@example.net,641,False,,5.79,7.83,5.32
1517511640,Seth Lewis,26,Feminino,zjohnson@example.org,663,True,7.0,8.8,7.12,5.36
15646360837,Miranda Hunt DVM,28,Feminino,ernest57@example.com,719,True,5.0,7.26,7.5,9.23
44399505667,James Collins,22,Feminino,ramseymelinda@example.net,652,False,,7.2,9.13,5.79
60230480229,Cynthia Porter,27,Feminino,rdodson@example.com,786,False,,8.39,6.95,7.34
19689412598,Gina Johnson,19,Feminino,npierce@example.org,701,False,,5.72,8.13,9.1
45153326432,James Dunn,19,Feminino,reyesjennifer@example.net,707,True,7.0,7.53,8.14,9.29
8654459489,Pamela Porter,27,Feminino,wwood@example.com,747,False,,9.79,6.22,6.51
81045941051,Christina Thomas,20,Feminino,geralddennis@example.com,676,True,1.0,8.47,8.21,7.14
47200106435,Michael Morales,18,Feminino,danielletaylor@example.com,767,False,,8.11,8.38,7.66
61610557929,Kelly Williams,26,Feminino,tracymunoz@example.org,727,False,,9.98,8.7,9.5
55507241630,Zachary Rogers,18,Masculino,kathleen02@example.net,736,False,,8.33,5.9,8.8
43223672813,Jose Nelson MD,19,Masculino,mark64@example.org,714,False,,7.61,9.27,7.13
61357684464,Jacob Roberts,18,Feminino,joellopez@example.com,696,False,,8.21,6.33,8.95
84477853691,Casey Thomas,22,Feminino,kristinacraig@example.com,731,False,,7.39,9.25,8.59
55977503310,Meagan Kim,26,Feminino,reeseloretta@example.org,752,False,,8.98,6.61,6.71
35714259560,Rodney Rodriguez,21,Masculino,jray@example.net,734,True,3.0,6.36,8.9,9.53
77574538248,Peggy Hall,18,Feminino,parkerwilliam@example.org,712,True,1.0,5.26,7.2,5.68
12131414680,Tracey Holmes,23,Feminino,jeremy23@example.org,690,False,,9.94,7.24,8.82
62510201345,Blake Perez,22,Masculino,richard50@example.com,760,True,4.0,7.13,8.1,7.13
7110610469,Paula Velasquez,20,Feminino,danielgriffin@example.net,664,True,3.0,9.67,5.39,9.96
73270295427,Michael Meyer,26,Feminino,jeremy44@example.org,731,False,,9.38,6.61,9.68
3467087732,Rachel Williams,19,Masculino,rhunt@example.org,664,False,,6.3,5.81,5.46
29049785225,Brandon Kaiser,23,Feminino,johnsonjared@example.org,777,False,,9.21,7.95,9.17
59141582702,Denise Anthony,28,Masculino,gperez@example.com,676,False,,8.83,7.55,9.68
77224051125,Jessica Flores,23,Feminino,seth62@example.net,702,False,,8.24,8.87,8.6
43114780570,Brandon Christensen,21,Feminino,sharonlee@example.net,670,False,,6.87,6.64,6.5
20777605114,Daniel Woods,19,Feminino,andrewconner@example.net,711,False,,7.45,6.27,8.12
69186658113,Susan Gilmore,21,Masculino,russelldon@example.org,775,True,6.0,6.32,5.41,5.76
60196753444,Jennifer Norman,22,Masculino,angelawilliams@example.org,699,True,1.0,8.79,8.36,8.76
23543463037,Cody Powell,24,Masculino,ocampbell@example.com,690,False,,6.95,6.5,7.72
35164956564,Michele Roberts,26,Masculino,richardchavez@example.com,791,True,8.0,8.5,9.64,7.1
7962828415,Anita Wyatt,27,Feminino,chandlerelizabeth@example.org,670,False,,9.91,5.4,5.42
48829116032,Christopher Johnson,18,Feminino,elizabethfowler@example.com,745,False,,5.55,6.47,5.4
49015728095,John Mueller,27,Feminino,howard75@example.com,770,False,,7.71,8.33,6.63
76031662870,Rhonda Chapman,25,Feminino,michaelarnold@example.com,702,True,1.0,7.4,9.37,6.33
10548816357,Gabriela Calderon,27,Feminino,justin66@example.com,747,False,,6.55,6.24,8.99
29021375520,Joann Le,23,Feminino,ocrawford@example.com,782,False,,5.21,5.66,7.28
6986487886,Michael Vasquez,24,Feminino,imiller@example.org,737,True,6.0,5.61,9.28,6.69
19535041494,Jeffery Smith,24,Feminino,wattschristine@example.net,720,True,2.0,6.58,5.16,9.8
50753108054,Emily Bruce,26,Feminino,robert45@example.org,775,True,5.0,7.27,5.56,7.74
72149213965,Connor Perez,22,Feminino,ryanandrew@example.org,686,False,,6.82,5.97,6.13
19074053017,Christopher Hartman,27,Masculino,uhiggins@example.com,699,False,,5.85,8.56,9.27
74338891218,Dustin Gonzalez,23,Feminino,nguyenmatthew@example.net,763,False,,5.39,8.62,7.99
57175933738,Raymond Moyer,19,Masculino,sandranixon@example.net,685,True,5.0,9.46,6.99,9.83
93591745518,Shannon Brown,18,Masculino,gmiller@example.com,775,False,,7.11,5.88,8.48
72044086740,Carl Perez,27,Masculino,lisastrickland@example.net,658,False,,9.76,8.41,9.34
6099601354,Dawn Gonzales,25,Masculino,christian36@example.com,755,False,,9.37,6.59,6.94
39605773147,Renee Little,28,Feminino,rodriguezelizabeth@example.net,745,False,,5.73,5.95,9.5
92035240905,Emily Clark,24,Feminino,hortonjoseph@example.net,684,False,,7.44,6.32,9.31
77712101185,Keith Mata,20,Masculino,frankpaul@example.org,657,True,8.0,8.62,7.74,5.16
46376836702,Andrew Brown,26,Masculino,antoniogarrett@example.org,764,False,,5.25,6.0,8.54
91951338954,Teresa Nelson,20,Feminino,adamsjoseph@example.net,764,False,,6.31,9.22,7.59
36542387671,Valerie Poole,23,Masculino,scottmolly@example.net,741,False,,7.88,6.1,6.38
72230112245,Tara Walker,22,Feminino,pamela43@example.com,647,True,2.0,7.6,9.76,7.9
59443136263,Eric Davis,27,Masculino,brandonnelson@example.org,760,False,,6.37,7.92,7.63
80179530851,Kimberly Walker,21,Masculino,kristahines@example.org,696,True,8.0,5.8,9.94,5.44
23498768970,Patrick Young,20,Masculino,richardsonmatthew@example.com,787,False,,5.98,8.21,6.14
92018129389,Rhonda Peterson,18,Feminino,velezrandy@example.com,716,False,,8.8,6.87,5.95
8589943028,Colleen Galvan,27,Masculino,nathanbrady@example.net,720,False,,9.74,8.41,6.39
98966358166,Amy Gray,19,Masculino,robert77@example.com,678,False,,7.32,6.1,7.66
68188661377,Omar Turner,28,Masculino,virginiamiller@example.net,744,True,8.0,5.94,9.78,9.84
49282610591,John Diaz,18,Masculino,durantina@example.com,678,False,,5.9,9.51,6.1
8931492244,Mackenzie Hall,28,Masculino,hhernandez@example.com,718,True,8.0,7.86,8.99,7.9
34665843758,Cheryl Rice,19,Feminino,kellylaura@example.org,646,False,,6.8,8.55,8.6
21211535694,Scott Grant,24,Feminino,villaeric@example.net,669,False,,8.77,8.22,5.27
50860355426,Abigail Stafford,21,Feminino,ypeterson@example.org,653,True,7.0,5.22,9.26,7.27
26034172560,Jennifer James,24,Feminino,ashleyarroyo@example.org,716,False,,6.8,8.96,5.2
31462268457,Sarah Martin,26,Masculino,angelanelson@example.net,725,False,,9.55,6.62,5.26
31032352256,Linda Welch,22,Feminino,jerry93@example.org,791,True,6.0,6.49,9.66,5.5
1062580429,Amanda Yu,26,Feminino,emilymartinez@example.com,731,False,,8.15,7.74,8.86
30959251719,Carlos Weber,23,Feminino,daniellemorton@example.net,719,False,,8.43,8.81,9.2
68600856531,Kelly Neal,22,Masculino,nicole95@example.org,658,False,,9.5,9.41,6.61
71075239981,Stephen Parsons,23,Feminino,meyerholly@example.com,654,False,,9.18,5.91,9.15
17295716364,Lori Higgins,27,Feminino,bhernandez@example.com,726,True,6.0,9.89,6.23,8.55
42342536029,Deanna Lewis,24,Feminino,ucampbell@example.net,718,False,,9.16,9.23,5.97
8030220808,Paul Jones,22,Feminino,cannonjohn@example.com,790,True,6.0,8.39,6.4,9.16
8931733802,Jessica Phillips,28,Feminino,anitagray@example.org,729,False,,8.89,9.23,5.65
14599903443,Jimmy Lucas,25,Masculino,jordanwells@example.org,783,False,,8.38,7.56,9.4
57608671787,Paul Davis,28,Feminino,tmaldonado@example.net,747,False,,7.93,5.3,7.55
70539879756,Timothy Daniels,22,Masculino,joannafernandez@example.org,795,False,,9.92,8.56,5.25
93093440585,Caleb Chan,22,Masculino,rochaleslie@example.com,791,True,1.0,7.18,6.25,5.55
84014725762,Wendy Smith,27,Feminino,tracey38@example.org,675,False,,5.37,8.56,7.47
75893847762,Kelly Lawson,21,Masculino,colemananne@example.com,735,False,,6.46,5.95,7.66
29873563648,Daniel Ferguson,23,Feminino,vargasdaniel@example.com,650,True,7.0,6.93,8.63,5.3
7635639904,Richard House,24,Masculino,ronald56@example.org,751,False,,5.97,6.17,7.5
37958109400,Blake Jennings,21,Masculino,davidrobinson@example.net,749,True,6.0,9.1,5.83,9.17
17238412771,Emily Brown,27,Feminino,fordkaitlyn@example.net,700,False,,7.4,6.28,5.67
63335557612,Mark Hahn,19,Feminino,rlewis@example.org,666,False,,9.5,6.39,6.19
96263272169,Daniel Garrett,20,Feminino,melissaweber@example.org,776,True,8.0,9.27,6.5,7.83
49700519528,Mrs. Lori Arnold,23,Feminino,brittany41@example.net,733,False,,8.75,9.74,9.86
49280289006,Amanda Moore,23,Feminino,kimberlyjames@example.org,702,False,,8.66,6.73,5.22
62793801409,Barbara Rivera PhD,25,Feminino,katherine98@example.net,750,True,2.0,7.13,9.4,8.41
63231064410,Lisa Mcbride,19,Feminino,heathermitchell@example.org,704,False,,8.78,5.57,9.31
3686132217,Kyle Glenn,25,Masculino,rachaelolson@example.net,765,False,,5.31,6.7,7.88
47662000120,Kevin Frank,19,Feminino,gbryant@example.com,746,True,6.0,5.86,9.87,6.37
72991695828,Dr. Tammy Raymond,21,Feminino,christopher78@example.com,653,False,,6.28,6.91,5.58
71345260860,Wanda Dalton,18,Feminino,garrettstanley@example.net,718,False,,8.36,5.4,8.9
56195640079,Thomas Cooper,19,Masculino,castilloandrew@example.org,729,True,1.0,9.2,8.45,6.89
30886552056,Jason Mitchell,23,Feminino,curtisthomas@example.org,706,False,,9.81,8.23,9.61
51847023947,Felicia Sparks,20,Feminino,caitlinsmith@example.org,764,False,,6.44,9.81,5.83
49447429542,Michael Ibarra,28,Feminino,nicole41@example.net,655,False,,9.77,7.98,6.75
63009858908,Tim Yu,26,Feminino,andrewsrenee@example.com,757,False,,9.41,9.93,5.18
3004204425,Mr. Darren Valentine MD,19,Feminino,oterry@example.com,783,False,,8.44,8.73,6.55
26961050151,Matthew Moore,19,Masculino,lucasbecker@example.com,717,True,8.0,9.87,5.77,8.5
10529069926,Joseph Edwards,23,Masculino,taylorrose@example.net,753,True,8.0,7.23,7.61,5.4
51642995371,Kimberly Vazquez,18,Masculino,sjohnson@example.net,685,False,,6.85,7.27,6.13
26090509632,Jason Bennett,18,Feminino,xskinner@example.com,674,False,,7.78,8.77,7.65
87269823594,Tina Baker,18,Feminino,ericksonwhitney@example.com,775,True,7.0,7.41,5.11,8.82
14760125141,Debbie Oliver,26,Feminino,steven93@example.net,720,True,1.0,6.84,8.83,5.94
90510290214,Joshua Yates,21,Feminino,meghancasey@example.net,657,True,4.0,5.62,6.4,6.48
23518207639,William Whitehead,20,Feminino,thomaswelch@example.net,735,False,,5.36,5.23,9.77
89698241419,Stephen Williams,24,Masculino,edward44@example.org,749,True,5.0,5.65,8.27,9.75
65177444066,Carol Hall,28,Feminino,lindsay11@example.net,785,False,,7.17,5.83,5.8
32216576284,Bryan Bell,28,Masculino,mperez@example.net,677,False,,9.73,8.35,6.9
48286070540,Joseph Lynch,27,Feminino,yreed@example.com,794,True,2.0,9.31,7.71,9.97
88543644017,Eric Conley,27,Masculino,uleonard@example.com,672,True,3.0,8.0,8.43,8.3
21368199862,Julie Mejia,24,Masculino,alexanderderrick@example.com,719,False,,5.75,5.45,6.76
33268724300,Austin Shaw,27,Masculino,vincentwilson@example.net,765,True,1.0,6.27,8.37,6.98
67855136270,Andrew Robinson,20,Masculino,isandoval@example.org,689,True,5.0,7.81,7.37,5.39
33087989223,Tyler Hardy,26,Masculino,ghardy@example.org,744,False,,9.17,9.11,8.95
10407210002,Charles Lawrence,18,Masculino,matthewbest@example.com,795,False,,9.95,9.82,9.56
17989701791,Dawn Hill,28,Masculino,stuartgarcia@example.com,721,False,,8.62,7.88,7.24
93754995214,Margaret Clay,28,Masculino,nbrown@example.org,641,False,,9.76,7.98,5.26
81324798446,Eugene House,22,Feminino,pmanning@example.net,754,False,,7.6,9.1,5.19
7457508616,Brenda Walter,26,Feminino,ewilson@example.net,652,True,6.0,7.69,6.23,9.75
24159012743,Adam Sweeney,24,Feminino,parkmichele@example.org,788,True,2.0,5.18,6.1,6.64
1281206045,Tammy Harper,20,Masculino,egarcia@example.net,760,False,,8.35,8.86,5.58
40256753036,Richard Taylor,25,Masculino,gillrebecca@example.org,793,False,,7.94,7.96,9.0
86520953729,Julia Russell,24,Feminino,nduncan@example.org,695,False,,7.65,5.99,7.98
80372605722,Willie Barnes,21,Feminino,qmartinez@example.net,747,False,,7.65,8.74,6.37
57737172457,Virginia Fitzpatrick,21,Feminino,audreygutierrez@example.com,643,False,,9.66,5.29,6.29
41779839107,Kent Ramsey,28,Feminino,andrewadams@example.net,717,False,,9.5,9.22,6.4
78973237453,Michelle Sims,22,Feminino,hcooper@example.net,674,True,8.0,6.5,8.94,8.69
69950490193,Jennifer Guerrero,23,Feminino,russell78@example.org,762,False,,5.49,8.15,9.3
81023255166,Jeremy Smith,22,Masculino,robert37@example.org,694,False,,6.68,9.86,7.35
71424296031,David Everett,20,Feminino,uingram@example.org,770,False,,7.71,7.96,6.31
53188397533,Shane Wilson,25,Masculino,carolinecole@example.net,772,True,3.0,5.31,5.13,7.8
53182653504,James Davis,18,Feminino,eric49@example.com,775,True,3.0,8.2,5.24,5.99
22869430163,Jessica Turner,23,Feminino,qjensen@example.org,704,False,,9.85,6.14,9.19
8229811986,Jacqueline Melton,28,Masculino,nwalsh@example.com,789,False,,5.38,6.14,8.46
45475293418,Susan Johnson,26,Masculino,cday@example.net,671,True,3.0,8.66,8.45,9.49
60134595126,Janice Simmons,19,Masculino,toddjennifer@example.com,702,True,3.0,5.22,7.99,8.5
8394649662,Christopher Fisher,20,Masculino,michaelhenry@example.org,764,False,,8.18,9.13,7.75
39150656618,Brianna Allen,21,Feminino,smithdavid@example.org,714,False,,9.28,7.87,6.64
72187405085,Kyle Lamb,18,Masculino,vperkins@example.org,680,False,,9.48,5.6,8.71
59030911357,Jessica Quinn,21,Feminino,cassandracabrera@example.net,716,False,,6.64,7.99,6.87
92385850998,Michael Herrera,21,Feminino,brian20@example.com,705,True,7.0,5.42,9.14,9.45
23482074419,Joshua Sullivan,22,Feminino,tharper@example.net,770,False,,7.77,9.21,8.46
93149156151,Yvonne Jackson,21,Feminino,anita31@example.com,783,False,,7.94,9.87,9.58
95421614157,Jerry Cunningham,22,Feminino,keithjames@example.com,674,False,,9.13,5.93,5.13
15047830391,Rebecca Hamilton,27,Feminino,jonessteven@example.com,726,False,,8.43,9.59,9.18
9766633602,Melanie Benson,20,Masculino,stephaniethomas@example.com,769,False,,7.72,8.46,8.83
74180308288,Lisa Pennington,23,Feminino,robert55@example.com,768,True,4.0,5.26,5.53,5.51
46460358823,Erik Hoffman,21,Masculino,megan79@example.com,666,False,,5.76,6.26,5.85
88269782249,Bryan Gamble,21,Masculino,sean05@example.net,787,True,6.0,8.92,7.78,8.1
84032186258,Jacob Chan,21,Masculino,jesse08@example.com,795,False,,7.12,6.41,9.48
18673576791,Karen Brown,28,Feminino,williamking@example.com,656,True,2.0,5.72,6.21,8.99
36619719024,Tanya Wiggins,19,Feminino,george44@example.net,671,False,,9.97,7.75,5.53
29162975474,Ryan Roach,23,Feminino,mrowe@example.net,765,False,,7.7,7.31,7.92
76001265328,Sheila Smith,22,Feminino,natalie28@example.com,645,True,3.0,7.6,6.11,9.51
3899783150,Joanne Lyons,22,Feminino,patricia57@example.org,781,False,,8.65,5.44,5.36
85069123035,Megan Duffy,23,Masculino,shelly84@example.com,727,False,,6.59,7.37,6.1
94867286499,Travis Graham,19,Masculino,millerlisa@example.org,735,False,,6.68,7.4,8.79
87086400750,Matthew Smith,20,Masculino,brian99@example.org,669,False,,8.85,6.84,9.57
78122081000,Nicholas Anderson,25,Masculino,erin48@example.org,794,False,,7.51,9.14,9.97
7998865812,Barbara Martinez,18,Feminino,robertcarter@example.net,691,False,,9.29,5.74,8.35
79924308934,Valerie Molina,19,Feminino,uhall@example.org,735,False,,9.22,8.93,5.57
50558254892,Brett Gonzales,25,Masculino,harrellmonica@example.net,778,True,1.0,6.56,5.51,6.92
88253801854,Vanessa Hughes,19,Feminino,john57@example.net,661,True,8.0,6.83,9.97,6.71
81809346665,April Walter,21,Masculino,tammybrooks@example.com,734,False,,7.81,9.47,5.69
34647186527,Samantha Crawford,26,Feminino,melissabrown@example.net,641,False,,6.79,6.91,7.32
6303487388,Jillian Arnold,21,Masculino,sellis@example.net,771,False,,5.5,5.82,8.34
52422302413,Meghan Rodriguez,21,Feminino,alanwood@example.com,742,False,,9.73,6.98,5.99
13064717747,Richard Watson,26,Feminino,colleencolon@example.org,748,True,6.0,6.64,9.82,9.69
48234621873,Ann Sherman,24,Masculino,jessica48@example.com,748,False,,6.88,6.96,9.39
37510665214,Shane Daniel,20,Masculino,brendabeck@example.net,687,False,,9.21,5.22,8.2
85451251488,Ricky Willis,27,Feminino,hsnyder@example.com,796,False,,6.31,8.6,5.51
88091979346,Timothy Rivera,27,Masculino,igraves@example.net,675,True,7.0,7.42,5.36,6.55
38277170556,Candice Mcgrath,28,Feminino,jmorales@example.org,766,False,,5.84,5.1,9.42
58320514646,Lisa Holmes,21,Feminino,carterjose@example.org,786,True,8.0,8.98,6.2,7.45
24139961516,Nicholas Cox,20,Masculino,bramirez@example.org,751,True,8.0,5.18,9.8,7.39
15281717717,Laura Barrett,18,Feminino,kathrynlarsen@example.net,657,False,,7.94,8.16,5.8
72816222331,Paul Trevino,26,Feminino,marksolomon@example.org,737,False,,6.4,5.8,9.16
26679972986,Phyllis Miller,26,Feminino,katherine44@example.org,674,True,4.0,5.24,5.6,5.49
71911994789,Gary Fletcher,24,Masculino,courtneyblack@example.com,760,True,3.0,6.37,9.34,5.94
74134446053,David Johnson,23,Masculino,elove@example.org,726,False,,8.47,9.46,8.98
15135251293,Benjamin Henderson,19,Feminino,cabreraeric@example.net,784,True,4.0,7.79,7.48,5.48
67657717609,Emily Oneill,22,Feminino,sierralewis@example.com,739,False,,9.64,8.5,6.27
83886822649,Tami Ferguson,19,Masculino,zwilson@example.com,752,False,,6.98,9.87,6.21
98421421385,Mark Rubio,20,Masculino,jason16@example.net,760,False,,9.78,7.81,6.6
51838875815,Kevin Cervantes,24,Feminino,rogerscharles@example.org,800,False,,6.4,9.39,8.4
42067224069,Christopher Rodriguez,25,Feminino,ereynolds@example.net,744,False,,5.67,5.27,8.58
542177224,Mary Madden,24,Feminino,gortiz@example.com,790,False,,7.41,8.59,9.6
96446700132,Kenneth Haley,27,Feminino,foneal@example.com,761,True,6.0,7.35,7.55,6.12
71941856168,Brenda Galvan,18,Feminino,woconnell@example.com,653,False,,7.18,9.8,5.68
13562701033,Linda Marshall,22,Feminino,diana94@example.net,800,True,3.0,6.6,9.92,7.39
48899857528,Larry Guzman,27,Masculino,michelle71@example.org,789,False,,6.68,5.6,5.39
79835538745,Jonathan Stokes,28,Masculino,scottobrien@example.net,757,False,,8.89,8.22,6.78
75195352842,Gary Mckinney,21,Masculino,ireyes@example.net,761,True,7.0,5.36,9.37,5.25
21260506881,Charles Sherman,19,Feminino,fbrown@example.net,646,False,,7.75,5.97,8.82
6004849795,Ann Lester,25,Feminino,bedwards@example.com,756,False,,7.13,5.14,9.68
38771614595,Lawrence Williams,21,Feminino,hartlisa@example.com,647,True,7.0,5.59,8.13,8.4
22297230325,Laura Lane,18,Feminino,brenda94@example.com,694,False,,6.19,5.78,5.76
40415310896,Kathy Sanchez,23,Feminino,wroman@example.org,793,False,,8.37,6.3,6.3
88498835487,Patrick Simmons,21,Feminino,michael92@example.com,643,False,,7.33,7.56,8.36
16954639963,Raymond Davis,24,Feminino,achristensen@example.org,685,True,6.0,7.84,9.76,7.93
35373659752,Amanda Griffin,22,Feminino,nicolewilson@example.com,719,True,5.0,8.0,9.4,9.2
63263179258,Maurice Kim,25,Feminino,krasmussen@example.org,675,True,4.0,8.7,5.92,9.62
76210332343,Megan Bauer,22,Masculino,kbridges@example.net,644,False,,5.73,7.22,9.7
15681064568,Damon Ball,25,Feminino,maryhernandez@example.com,718,False,,6.92,8.23,5.62
87089397672,Robert Clements,26,Masculino,tayloramy@example.org,794,False,,8.91,8.63,5.86
17638474671,Bryan Kane,26,Masculino,james15@example.net,763,False,,5.75,5.92,8.34
52772818212,Rebecca Jones,19,Feminino,haastammy@example.net,716,True,2.0,5.22,6.46,6.31
83310888300,Cheryl Patterson,22,Feminino,hdorsey@example.net,712,False,,7.7,9.9,7.42
37767445512,David Blankenship,21,Masculino,seanwhite@example.com,702,False,,7.93,6.96,9.43
48577101160,Phillip Torres,27,Masculino,pattersonashley@example.com,649,False,,8.24,7.6,5.63
81559270015,Heather Berger,18,Feminino,vnguyen@example.net,687,False,,5.16,6.59,7.56
29987134734,Raymond Perez,25,Feminino,travis05@example.org,767,False,,6.47,6.69,7.8
81385662382,John Campbell,22,Masculino,michaelgreene@example.org,716,True,7.0,6.27,5.12,9.47
44486811083,Jose Young,28,Feminino,gmiles@example.com,652,False,,8.25,8.72,6.2
77791508079,Joanne Adams,21,Masculino,arnoldlisa@example.net,768,True,1.0,7.98,5.65,7.73
92185248457,Kenneth Ayala,20,Feminino,davissue@example.org,694,False,,5.75,8.2,9.92
63943119782,Daniel Armstrong,25,Masculino,parkanthony@example.com,714,False,,7.8,9.68,9.33
33912136486,Alexandra Cummings,19,Feminino,jonathanwarren@example.com,760,True,7.0,7.56,7.29,9.99
43806653059,Joe Hernandez,28,Masculino,arthur97@example.com,684,True,8.0,9.31,6.99,6.77
57691196807,Jeanette Simpson,18,Masculino,hwilson@example.org,784,True,2.0,8.85,7.36,5.42
62226145851,Joseph Hines,18,Feminino,wrightrebecca@example.com,800,False,,8.13,8.52,9.51
69232551568,Raymond Hall,26,Masculino,amandalucas@example.com,755,True,3.0,5.55,7.38,8.87
53512518778,Monica King,28,Feminino,connor34@example.net,783,False,,7.49,8.27,8.12
16576340942,David Johnson,23,Feminino,joe33@example.org,643,False,,6.81,8.14,8.35
53065980523,Jennifer Patel,21,Masculino,martinezkerry@example.com,677,True,4.0,5.44,9.9,7.16
56328046734,Ryan Wagner,24,Feminino,victor99@example.net,643,False,,5.99,8.53,6.79
27384508458,Joshua Johnson,24,Feminino,laura50@example.net,745,True,5.0,5.38,6.24,6.87
83231516678,Brian Day,19,Masculino,benjamin89@example.net,689,False,,9.6,7.5,9.37
79435755708,Paul Smith,21,Masculino,rhamilton@example.com,789,False,,8.85,7.42,8.81
38897681144,Brandon Allen,22,Feminino,ashley12@example.com,667,False,,9.11,5.4,7.2
